CMDLINE python valhalla.py
MEM 0.500000 1712572249.0928
MEM 25.878906 1712572249.1931
MEM 35.105469 1712572249.2935
MEM 57.113281 1712572249.3938
MEM 66.488281 1712572249.4941
MEM 67.863281 1712572249.5944
MEM 67.863281 1712572249.6947
MEM 67.863281 1712572249.7950
MEM 67.863281 1712572249.8954
MEM 67.863281 1712572249.9959
MEM 67.863281 1712572250.0963
MEM 67.863281 1712572250.1967
MEM 67.863281 1712572250.2972
MEM 67.863281 1712572250.3976
MEM 67.863281 1712572250.4980
MEM 67.863281 1712572250.5985
MEM 67.863281 1712572250.6991
MEM 67.863281 1712572250.7994
MEM 67.863281 1712572250.8998
MEM 67.863281 1712572251.0002
MEM 67.863281 1712572251.1007
MEM 67.863281 1712572251.2011
MEM 67.863281 1712572251.3016
MEM 67.863281 1712572251.4021
MEM 67.863281 1712572251.5025
MEM 67.863281 1712572251.6030
MEM 67.863281 1712572251.7035
MEM 67.863281 1712572251.8041
MEM 67.863281 1712572251.9046
MEM 67.863281 1712572252.0051
MEM 67.863281 1712572252.1056
MEM 67.863281 1712572252.2062
MEM 67.863281 1712572252.3068
MEM 67.863281 1712572252.4074
MEM 67.863281 1712572252.5079
MEM 67.863281 1712572252.6084
MEM 67.863281 1712572252.7088
MEM 67.863281 1712572252.8093
MEM 67.863281 1712572252.9099
MEM 67.863281 1712572253.0103
MEM 67.863281 1712572253.1107
MEM 67.863281 1712572253.2111
MEM 67.863281 1712572253.3117
MEM 67.863281 1712572253.4121
MEM 67.863281 1712572253.5126
MEM 67.863281 1712572253.6131
MEM 67.863281 1712572253.7136
MEM 67.863281 1712572253.8142
MEM 67.863281 1712572253.9148
MEM 67.863281 1712572254.0153
MEM 67.863281 1712572254.1158
MEM 67.863281 1712572254.2164
MEM 67.863281 1712572254.3170
MEM 67.863281 1712572254.4174
MEM 67.863281 1712572254.5180
MEM 67.863281 1712572254.6186
MEM 67.863281 1712572254.7192
MEM 67.863281 1712572254.8198
MEM 67.863281 1712572254.9202
MEM 67.863281 1712572255.0207
MEM 67.863281 1712572255.1211
MEM 67.863281 1712572255.2215
MEM 67.863281 1712572255.3218
MEM 67.863281 1712572255.4223
MEM 67.863281 1712572255.5227
MEM 67.863281 1712572255.6232
MEM 67.863281 1712572255.7238
MEM 67.863281 1712572255.8243
MEM 67.863281 1712572255.9248
MEM 67.863281 1712572256.0252
MEM 67.863281 1712572256.1257
MEM 67.863281 1712572256.2261
MEM 67.863281 1712572256.3266
MEM 67.863281 1712572256.4269
MEM 67.863281 1712572256.5275
MEM 67.863281 1712572256.6279
MEM 67.863281 1712572256.7283
MEM 67.863281 1712572256.8287
MEM 67.863281 1712572256.9291
MEM 67.863281 1712572257.0295
MEM 67.863281 1712572257.1298
MEM 67.863281 1712572257.2301
MEM 67.863281 1712572257.3304
MEM 67.863281 1712572257.4307
MEM 67.863281 1712572257.5311
MEM 67.863281 1712572257.6314
MEM 67.863281 1712572257.7318
MEM 67.863281 1712572257.8321
MEM 67.863281 1712572257.9323
MEM 67.863281 1712572258.0326
MEM 67.863281 1712572258.1330
MEM 67.863281 1712572258.2334
MEM 67.863281 1712572258.3337
MEM 67.863281 1712572258.4341
MEM 67.863281 1712572258.5344
MEM 67.863281 1712572258.6348
MEM 67.863281 1712572258.7351
MEM 67.863281 1712572258.8354
MEM 67.863281 1712572258.9357
