Latitude: 2828.9909800000 N, Longitude: 7706.2549940000 E
Latitude: 2828.9915020000 N, Longitude: 7706.2516340000 E
Latitude: 2828.9918080000 N, Longitude: 7706.2515380000 E
Latitude: 2828.9921200000 N, Longitude: 7706.2516220000 E
Latitude: 2828.9922460000 N, Longitude: 7706.2518500000 E
Latitude: 2828.9919940000 N, Longitude: 7706.2519280000 E
Latitude: 2828.9918020000 N, Longitude: 7706.2520240000 E
Latitude: 2828.9916820000 N, Longitude: 7706.2521860000 E
Latitude: 2828.9914540000 N, Longitude: 7706.2521800000 E
Latitude: 2828.9914360000 N, Longitude: 7706.2520000000 E
Latitude: 2828.9912140000 N, Longitude: 7706.2519520000 E
Latitude: 2828.9911840000 N, Longitude: 7706.2518440000 E
Latitude: 2828.9911240000 N, Longitude: 7706.2519460000 E
Latitude: 2828.9910820000 N, Longitude: 7706.2527500000 E
Latitude: 2828.9910760000 N, Longitude: 7706.2532240000 E
Latitude: 2828.9911480000 N, Longitude: 7706.2537580000 E
Latitude: 2828.9911600000 N, Longitude: 7706.2542200000 E
Latitude: 2828.9912860000 N, Longitude: 7706.2538660000 E
Latitude: 2828.9913640000 N, Longitude: 7706.2532180000 E
Latitude: 2828.9914360000 N, Longitude: 7706.2531940000 E
Latitude: 2828.9915080000 N, Longitude: 7706.2537580000 E
Latitude: 2828.9916040000 N, Longitude: 7706.2553000000 E
Latitude: 2828.9915980000 N, Longitude: 7706.2557080000 E
Latitude: 2828.9916100000 N, Longitude: 7706.2560740000 E
Latitude: 2828.9916520000 N, Longitude: 7706.2566260000 E
Latitude: 2828.9916580000 N, Longitude: 7706.2576940000 E
Latitude: 2828.9917840000 N, Longitude: 7706.2587500000 E
Latitude: 2828.9918560000 N, Longitude: 7706.2593800000 E
Latitude: 2828.9918560000 N, Longitude: 7706.2598780000 E
Latitude: 2828.9918860000 N, Longitude: 7706.2600220000 E
Latitude: 2828.9919340000 N, Longitude: 7706.2601000000 E
