  [28.483261, 77.104337]
  [28.483257, 77.104526]
  [28.483244, 77.104739]
  [28.483215, 77.105195]
  [28.483175, 77.105697]
  [28.483155, 77.10584]
  [28.483134, 77.105957]
  [28.483101, 77.106121]
  [28.483078, 77.106181]
  [28.483059, 77.106228]
  [28.483037, 77.106258]
  [28.482968, 77.106321]
  [28.482897, 77.106356]
  [28.482542, 77.106533]
  [28.482563, 77.1066]
  [28.482613, 77.106822]
  [28.482696, 77.107363]
  [28.482711, 77.107531]
  [28.482729, 77.107775]
  [28.482728, 77.107922]
  [28.482716, 77.108127]
  [28.482715, 77.108179]
  [28.482655, 77.108509]
  [28.482524, 77.108854]
  [28.482456, 77.108814]
  [28.48233, 77.108799]
  [28.482379, 77.108646]
  [28.482476, 77.108322]
  [28.482508, 77.108215]
  [28.482551, 77.107879]
  [28.482542, 77.107289]
  [28.482481, 77.106861]
  [28.48234, 77.106328]
  [28.482259, 77.105917]
